,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,72,2020-03-27 09:00:02.776297
1,E09000003,Barnet,103,2020-03-27 09:00:02.776297
2,E08000016,Barnsley,27,2020-03-27 09:00:02.776297
3,E06000022,Bath and North East Somerset,23,2020-03-27 09:00:02.776297
4,E06000055,Bedford,10,2020-03-27 09:00:02.776297
5,E09000004,Bexley,77,2020-03-27 09:00:02.776297
6,E08000025,Birmingham,290,2020-03-27 09:00:02.776297
7,E06000008,Blackburn with Darwen,6,2020-03-27 09:00:02.776297
8,E06000009,Blackpool,8,2020-03-27 09:00:02.776297
9,E08000001,Bolton,25,2020-03-27 09:00:02.776297
10,E06000058,"Bournemouth, Christchurch and Poole",15,2020-03-27 09:00:02.776297
11,E06000036,Bracknell Forest,3,2020-03-27 09:00:02.776297
12,E08000032,Bradford,23,2020-03-27 09:00:02.776297
13,E09000005,Brent,228,2020-03-27 09:00:02.776297
14,E06000043,Brighton and Hove,30,2020-03-27 09:00:02.776297
15,E06000023,"Bristol, City of",51,2020-03-27 09:00:02.776297
16,E09000006,Bromley,149,2020-03-27 09:00:02.776297
17,E10000002,Buckinghamshire,66,2020-03-27 09:00:02.776297
18,E08000002,Bury,27,2020-03-27 09:00:02.776297
19,E08000033,Calderdale,9,2020-03-27 09:00:02.776297
20,E10000003,Cambridgeshire,47,2020-03-27 09:00:02.776297
21,E09000007,Camden,85,2020-03-27 09:00:02.776297
22,E06000056,Central Bedfordshire,28,2020-03-27 09:00:02.776297
23,E06000049,Cheshire East,31,2020-03-27 09:00:02.776297
24,E06000050,Cheshire West and Chester,24,2020-03-27 09:00:02.776297
25,E06000052,Cornwall and Isles of Scilly,43,2020-03-27 09:00:02.776297
26,E06000047,County Durham,29,2020-03-27 09:00:02.776297
27,E08000026,Coventry,35,2020-03-27 09:00:02.776297
28,E09000008,Croydon,181,2020-03-27 09:00:02.776297
29,E10000006,Cumbria,176,2020-03-27 09:00:02.776297
30,E06000005,Darlington,5,2020-03-27 09:00:02.776297
31,E06000015,Derby,58,2020-03-27 09:00:02.776297
32,E10000007,Derbyshire,139,2020-03-27 09:00:02.776297
33,E10000008,Devon,55,2020-03-27 09:00:02.776297
34,E08000017,Doncaster,21,2020-03-27 09:00:02.776297
35,E06000059,Dorset,25,2020-03-27 09:00:02.776297
36,E08000027,Dudley,60,2020-03-27 09:00:02.776297
37,E09000009,Ealing,165,2020-03-27 09:00:02.776297
38,E06000011,East Riding of Yorkshire,21,2020-03-27 09:00:02.776297
39,E10000011,East Sussex,26,2020-03-27 09:00:02.776297
40,E09000010,Enfield,110,2020-03-27 09:00:02.776297
41,E10000012,Essex,130,2020-03-27 09:00:02.776297
42,E08000037,Gateshead,12,2020-03-27 09:00:02.776297
43,E10000013,Gloucestershire,64,2020-03-27 09:00:02.776297
44,E09000011,Greenwich,118,2020-03-27 09:00:02.776297
45,E09000012,Hackney and City of London,119,2020-03-27 09:00:02.776297
46,E06000006,Halton,8,2020-03-27 09:00:02.776297
47,E09000013,Hammersmith and Fulham,94,2020-03-27 09:00:02.776297
48,E10000014,Hampshire,267,2020-03-27 09:00:02.776297
49,E09000014,Haringey,91,2020-03-27 09:00:02.776297
50,E09000015,Harrow,167,2020-03-27 09:00:02.776297
51,E06000001,Hartlepool,3,2020-03-27 09:00:02.776297
52,E09000016,Havering,70,2020-03-27 09:00:02.776297
53,E06000019,"Herefordshire, County of",21,2020-03-27 09:00:02.776297
54,E10000015,Hertfordshire,170,2020-03-27 09:00:02.776297
55,E09000017,Hillingdon,103,2020-03-27 09:00:02.776297
56,E09000018,Hounslow,112,2020-03-27 09:00:02.776297
57,E06000046,Isle of Wight,7,2020-03-27 09:00:02.776297
58,E09000019,Islington,96,2020-03-27 09:00:02.776297
59,E09000020,Kensington and Chelsea,110,2020-03-27 09:00:02.776297
60,E10000016,Kent,112,2020-03-27 09:00:02.776297
61,E06000010,"Kingston upon Hull, City of",4,2020-03-27 09:00:02.776297
62,E09000021,Kingston upon Thames,42,2020-03-27 09:00:02.776297
63,E08000034,Kirklees,24,2020-03-27 09:00:02.776297
64,E08000011,Knowsley,12,2020-03-27 09:00:02.776297
65,E09000022,Lambeth,248,2020-03-27 09:00:02.776297
66,E10000017,Lancashire,102,2020-03-27 09:00:02.776297
67,E08000035,Leeds,67,2020-03-27 09:00:02.776297
68,E06000016,Leicester,45,2020-03-27 09:00:02.776297
69,E10000018,Leicestershire,98,2020-03-27 09:00:02.776297
70,E09000023,Lewisham,144,2020-03-27 09:00:02.776297
71,E10000019,Lincolnshire,32,2020-03-27 09:00:02.776297
72,E08000012,Liverpool,72,2020-03-27 09:00:02.776297
73,E06000032,Luton,30,2020-03-27 09:00:02.776297
74,E08000003,Manchester,55,2020-03-27 09:00:02.776297
75,E06000035,Medway,32,2020-03-27 09:00:02.776297
76,E09000024,Merton,108,2020-03-27 09:00:02.776297
77,E06000002,Middlesbrough,9,2020-03-27 09:00:02.776297
78,E06000042,Milton Keynes,38,2020-03-27 09:00:02.776297
79,E08000021,Newcastle upon Tyne,80,2020-03-27 09:00:02.776297
80,E09000025,Newham,109,2020-03-27 09:00:02.776297
81,E10000020,Norfolk,51,2020-03-27 09:00:02.776297
82,E06000012,North East Lincolnshire,5,2020-03-27 09:00:02.776297
83,E06000013,North Lincolnshire,6,2020-03-27 09:00:02.776297
84,E06000024,North Somerset,22,2020-03-27 09:00:02.776297
85,E08000022,North Tyneside,27,2020-03-27 09:00:02.776297
86,E10000023,North Yorkshire,50,2020-03-27 09:00:02.776297
87,E10000021,Northamptonshire,64,2020-03-27 09:00:02.776297
88,E06000057,Northumberland,23,2020-03-27 09:00:02.776297
89,E06000018,Nottingham,67,2020-03-27 09:00:02.776297
90,E10000024,Nottinghamshire,109,2020-03-27 09:00:02.776297
91,E08000004,Oldham,48,2020-03-27 09:00:02.776297
92,E10000025,Oxfordshire,98,2020-03-27 09:00:02.776297
93,E06000031,Peterborough,10,2020-03-27 09:00:02.776297
94,E06000026,Plymouth,26,2020-03-27 09:00:02.776297
95,E06000044,Portsmouth,42,2020-03-27 09:00:02.776297
96,E06000038,Reading,10,2020-03-27 09:00:02.776297
97,E09000026,Redbridge,89,2020-03-27 09:00:02.776297
98,E06000003,Redcar and Cleveland,10,2020-03-27 09:00:02.776297
99,E09000027,Richmond upon Thames,55,2020-03-27 09:00:02.776297
100,E08000005,Rochdale,38,2020-03-27 09:00:02.776297
101,E08000018,Rotherham,30,2020-03-27 09:00:02.776297
102,E06000017,Rutland,0,2020-03-27 09:00:02.776297
103,E08000006,Salford,52,2020-03-27 09:00:02.776297
104,E08000028,Sandwell,65,2020-03-27 09:00:02.776297
105,E08000014,Sefton,24,2020-03-27 09:00:02.776297
106,E08000019,Sheffield,240,2020-03-27 09:00:02.776297
107,E06000051,Shropshire,44,2020-03-27 09:00:02.776297
108,E06000039,Slough,22,2020-03-27 09:00:02.776297
109,E08000029,Solihull,29,2020-03-27 09:00:02.776297
110,E10000027,Somerset,23,2020-03-27 09:00:02.776297
111,E06000025,South Gloucestershire,31,2020-03-27 09:00:02.776297
112,E08000023,South Tyneside,10,2020-03-27 09:00:02.776297
113,E06000045,Southampton,32,2020-03-27 09:00:02.776297
114,E06000033,Southend-on-Sea,12,2020-03-27 09:00:02.776297
115,E09000028,Southwark,253,2020-03-27 09:00:02.776297
116,E08000013,St. Helens,17,2020-03-27 09:00:02.776297
117,E10000028,Staffordshire,121,2020-03-27 09:00:02.776297
118,E08000007,Stockport,48,2020-03-27 09:00:02.776297
119,E06000004,Stockton-on-Tees,16,2020-03-27 09:00:02.776297
120,E06000021,Stoke-on-Trent,16,2020-03-27 09:00:02.776297
121,E10000029,Suffolk,42,2020-03-27 09:00:02.776297
122,E08000024,Sunderland,27,2020-03-27 09:00:02.776297
123,E10000030,Surrey,142,2020-03-27 09:00:02.776297
124,E09000029,Sutton,54,2020-03-27 09:00:02.776297
125,E06000030,Swindon,11,2020-03-27 09:00:02.776297
126,E08000008,Tameside,40,2020-03-27 09:00:02.776297
127,E06000020,Telford and Wrekin,17,2020-03-27 09:00:02.776297
128,E06000034,Thurrock,20,2020-03-27 09:00:02.776297
129,E06000027,Torbay,21,2020-03-27 09:00:02.776297
130,E09000030,Tower Hamlets,93,2020-03-27 09:00:02.776297
131,E08000009,Trafford,46,2020-03-27 09:00:02.776297
132,E08000036,Wakefield,24,2020-03-27 09:00:02.776297
133,E08000030,Walsall,78,2020-03-27 09:00:02.776297
134,E09000031,Waltham Forest,95,2020-03-27 09:00:02.776297
135,E09000032,Wandsworth,204,2020-03-27 09:00:02.776297
136,E06000007,Warrington,10,2020-03-27 09:00:02.776297
137,E10000031,Warwickshire,74,2020-03-27 09:00:02.776297
138,E06000037,West Berkshire,18,2020-03-27 09:00:02.776297
139,E10000032,West Sussex,69,2020-03-27 09:00:02.776297
140,E09000033,Westminster,172,2020-03-27 09:00:02.776297
141,E08000010,Wigan,16,2020-03-27 09:00:02.776297
142,E06000054,Wiltshire,43,2020-03-27 09:00:02.776297
143,E06000040,Windsor and Maidenhead,14,2020-03-27 09:00:02.776297
144,E08000015,Wirral,22,2020-03-27 09:00:02.776297
145,E06000041,Wokingham,13,2020-03-27 09:00:02.776297
146,E08000031,Wolverhampton,103,2020-03-27 09:00:02.776297
147,E10000034,Worcestershire,76,2020-03-27 09:00:02.776297
148,E06000014,York,14,2020-03-27 09:00:02.776297
