LAD19CD,week_starting,max_cases,mean_velocity,mean_acceleration,LAD19NM
E06000001,2020-03-23,3,0.4,0.0,Hartlepool
E06000002,2020-03-23,3,0.6,0.5,Middlesbrough
E06000003,2020-03-23,3,0.4,0.0,Redcar and Cleveland
E06000004,2020-03-23,12,1.2,-0.5,Stockton-on-Tees
E06000005,2020-03-23,3,0.2,0.0,Darlington
E06000006,2020-03-23,7,0.6,0.0,Halton
E06000007,2020-03-23,7,0.6,0.75,Warrington
E06000008,2020-03-23,1,0.0,0.0,Blackburn with Darwen
E06000009,2020-03-23,6,0.4,0.25,Blackpool
E06000010,2020-03-23,1,0.0,0.0,"Kingston upon Hull, City of"
E06000011,2020-03-23,16,1.2,0.25,East Riding of Yorkshire
E06000012,2020-03-23,1,0.2,0.0,North East Lincolnshire
E06000013,2020-03-23,3,0.4,0.25,North Lincolnshire
E06000014,2020-03-23,10,1.2,-0.25,York
E06000015,2020-03-23,23,2.4,0.5,Derby
E06000016,2020-03-23,22,3.8,0.25,Leicester
E06000017,2020-03-23,0,0.0,0.0,Rutland
E06000018,2020-03-23,41,5.4,1.75,Nottingham
E06000019,2020-03-23,7,0.8,0.0,"Herefordshire, County of"
E06000020,2020-03-23,3,0.6,0.5,Telford and Wrekin
E06000021,2020-03-23,4,0.6,0.25,Stoke-on-Trent
E06000022,2020-03-23,16,2.6,0.5,Bath and North East Somerset
E06000023,2020-03-23,28,3.2,1.25,"Bristol, City of"
E06000024,2020-03-23,7,0.6,0.5,North Somerset
E06000025,2020-03-23,19,2.0,-0.25,South Gloucestershire
E06000026,2020-03-23,11,1.2,-0.5,Plymouth
E06000027,2020-03-23,17,2.2,-0.25,Torbay
E06000030,2020-03-23,7,0.8,0.0,Swindon
E06000031,2020-03-23,3,0.2,0.25,Peterborough
E06000032,2020-03-23,15,2.4,1.75,Luton
E06000033,2020-03-23,8,0.6,0.25,Southend-on-Sea
E06000034,2020-03-23,13,2.2,0.5,Thurrock
E06000035,2020-03-23,15,2.2,0.0,Medway
E06000036,2020-03-23,3,0.0,0.0,Bracknell Forest
E06000037,2020-03-23,10,1.4,0.5,West Berkshire
E06000038,2020-03-23,8,0.6,-0.5,Reading
E06000039,2020-03-23,22,1.8,-0.75,Slough
E06000040,2020-03-23,13,0.6,-0.75,Windsor and Maidenhead
E06000041,2020-03-23,13,0.6,0.25,Wokingham
E06000042,2020-03-23,17,2.6,1.25,Milton Keynes
E06000043,2020-03-23,17,1.2,-0.25,Brighton and Hove
E06000044,2020-03-23,25,4.2,-0.25,Portsmouth
E06000045,2020-03-23,11,1.4,-0.75,Southampton
E06000046,2020-03-23,2,0.0,0.0,Isle of Wight
E06000047,2020-03-23,14,2.2,0.25,County Durham
E06000049,2020-03-23,18,2.0,-0.25,Cheshire East
E06000050,2020-03-23,16,2.2,0.75,Cheshire West and Chester
E06000051,2020-03-23,10,1.4,1.75,Shropshire
E06000052,2020-03-23,25,3.0,1.25,Cornwall and Isles of Scilly
E06000054,2020-03-23,28,3.8,0.5,Wiltshire
E06000055,2020-03-23,7,1.2,0.75,Bedford
E06000056,2020-03-23,19,2.6,1.0,Central Bedfordshire
E06000057,2020-03-23,10,1.2,-0.5,Northumberland
E06000058,2020-03-23,13,1.2,-0.25,"Bournemouth, Christchurch and Poole"
E06000059,2020-03-23,14,1.8,0.25,Dorset
E08000001,2020-03-23,18,2.2,-0.25,Bolton
E08000002,2020-03-23,15,1.6,0.0,Bury
E08000003,2020-03-23,37,3.8,0.75,Manchester
E08000004,2020-03-23,28,3.2,0.75,Oldham
E08000005,2020-03-23,19,2.6,0.25,Rochdale
E08000006,2020-03-23,25,4.2,-0.75,Salford
E08000007,2020-03-23,36,5.2,1.0,Stockport
E08000008,2020-03-23,27,3.0,1.0,Tameside
E08000009,2020-03-23,28,2.8,1.5,Trafford
E08000010,2020-03-23,9,1.0,0.0,Wigan
E08000011,2020-03-23,5,0.8,-0.25,Knowsley
E08000012,2020-03-23,35,4.6,3.0,Liverpool
E08000013,2020-03-23,6,0.8,0.75,St. Helens
E08000014,2020-03-23,10,1.2,0.0,Sefton
E08000015,2020-03-23,12,0.8,0.5,Wirral
E08000016,2020-03-23,11,1.0,0.0,Barnsley
E08000017,2020-03-23,9,1.2,0.75,Doncaster
E08000018,2020-03-23,12,1.6,1.0,Rotherham
E08000019,2020-03-23,106,14.0,5.0,Sheffield
E08000021,2020-03-23,42,5.8,0.5,Newcastle upon Tyne
E08000022,2020-03-23,18,2.2,-0.75,North Tyneside
E08000023,2020-03-23,6,0.8,0.25,South Tyneside
E08000024,2020-03-23,13,2.0,0.25,Sunderland
E08000025,2020-03-23,137,22.4,9.25,Birmingham
E08000026,2020-03-23,19,3.0,1.25,Coventry
E08000027,2020-03-23,26,3.2,0.25,Dudley
E08000028,2020-03-23,31,5.0,2.5,Sandwell
E08000029,2020-03-23,8,1.4,1.0,Solihull
E08000030,2020-03-23,37,4.6,1.5,Walsall
E08000031,2020-03-23,69,9.4,2.75,Wolverhampton
E08000032,2020-03-23,13,1.0,0.75,Bradford
E08000033,2020-03-23,7,0.8,0.5,Calderdale
E08000034,2020-03-23,16,2.8,1.0,Kirklees
E08000035,2020-03-23,35,4.6,0.75,Leeds
E08000036,2020-03-23,12,1.4,0.25,Wakefield
E08000037,2020-03-23,4,0.6,0.25,Gateshead
E09000002,2020-03-23,42,5.6,0.75,Barking and Dagenham
E09000003,2020-03-23,94,13.4,1.25,Barnet
E09000004,2020-03-23,43,5.2,-0.25,Bexley
E09000005,2020-03-23,143,19.6,-1.5,Brent
E09000006,2020-03-23,76,8.8,0.25,Bromley
E09000007,2020-03-23,60,6.0,0.25,Camden
E09000008,2020-03-23,85,10.6,-4.0,Croydon
E09000009,2020-03-23,106,12.8,-0.5,Ealing
E09000010,2020-03-23,76,9.8,1.25,Enfield
E09000011,2020-03-23,67,9.6,-2.0,Greenwich
E09000012,2020-03-23,72,8.6,1.25,Hackney and City of London
E09000013,2020-03-23,58,6.6,1.0,Hammersmith and Fulham
E09000014,2020-03-23,64,7.0,1.0,Haringey
E09000015,2020-03-23,113,14.6,-1.5,Harrow
E09000016,2020-03-23,39,6.4,-0.75,Havering
E09000017,2020-03-23,78,11.4,1.75,Hillingdon
E09000018,2020-03-23,73,9.8,1.0,Hounslow
E09000019,2020-03-23,59,6.0,-0.25,Islington
E09000020,2020-03-23,85,6.0,0.5,Kensington and Chelsea
E09000021,2020-03-23,23,3.2,-1.75,Kingston upon Thames
E09000022,2020-03-23,134,14.6,-3.25,Lambeth
E09000023,2020-03-23,86,12.8,0.5,Lewisham
E09000024,2020-03-23,57,4.6,-1.0,Merton
E09000025,2020-03-23,70,9.4,1.0,Newham
E09000026,2020-03-23,51,8.8,-1.25,Redbridge
E09000027,2020-03-23,31,4.8,0.25,Richmond upon Thames
E09000028,2020-03-23,154,16.8,0.75,Southwark
E09000029,2020-03-23,24,2.4,-0.5,Sutton
E09000030,2020-03-23,67,8.4,0.5,Tower Hamlets
E09000031,2020-03-23,56,8.4,0.75,Waltham Forest
E09000032,2020-03-23,113,10.8,-3.25,Wandsworth
E09000033,2020-03-23,134,13.2,1.75,Westminster
E10000002,2020-03-23,45,3.6,-2.75,Buckinghamshire
E10000003,2020-03-23,30,3.2,2.25,Cambridgeshire
E10000006,2020-03-23,110,15.2,6.75,Cumbria
E10000007,2020-03-23,82,11.0,-1.5,Derbyshire
E10000008,2020-03-23,46,4.2,0.5,Devon
E10000011,2020-03-23,11,0.6,0.5,East Sussex
E10000012,2020-03-23,67,8.0,2.5,Essex
E10000013,2020-03-23,32,4.0,0.0,Gloucestershire
E10000014,2020-03-23,171,18.8,1.25,Hampshire
E10000015,2020-03-23,115,13.0,5.25,Hertfordshire
E10000016,2020-03-23,64,8.6,3.0,Kent
E10000017,2020-03-23,59,8.8,1.5,Lancashire
E10000018,2020-03-23,53,7.8,1.75,Leicestershire
E10000019,2020-03-23,20,2.6,1.5,Lincolnshire
E10000020,2020-03-23,35,6.2,-1.5,Norfolk
E10000021,2020-03-23,29,2.8,1.75,Northamptonshire
E10000023,2020-03-23,24,2.6,0.5,North Yorkshire
E10000024,2020-03-23,71,8.6,2.5,Nottinghamshire
E10000025,2020-03-23,63,5.8,2.75,Oxfordshire
E10000027,2020-03-23,15,1.6,-0.25,Somerset
E10000028,2020-03-23,54,8.0,2.25,Staffordshire
E10000029,2020-03-23,22,2.4,0.25,Suffolk
E10000030,2020-03-23,69,6.0,-1.25,Surrey
E10000031,2020-03-23,35,5.0,1.25,Warwickshire
E10000032,2020-03-23,28,3.6,-1.25,West Sussex
E10000034,2020-03-23,28,4.6,1.5,Worcestershire
