GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000001,2020-03-18,Hartlepool,1,78,LAD,,,E06000001,Hartlepool,,
E06000001,2020-03-19,Hartlepool,2,79,LAD,,,E06000001,Hartlepool,1.0,
E06000001,2020-03-20,Hartlepool,2,80,LAD,,,E06000001,Hartlepool,0.0,-1.0
E06000001,2020-03-21,Hartlepool,2,81,LAD,,,E06000001,Hartlepool,0.0,0.0
E06000001,2020-03-22,Hartlepool,2,82,LAD,,,E06000001,Hartlepool,0.0,0.0
E06000001,2020-03-23,Hartlepool,3,83,LAD,,,E06000001,Hartlepool,1.0,1.0
E06000001,2020-03-24,Hartlepool,3,84,LAD,,,E06000001,Hartlepool,0.0,-1.0
E06000001,2020-03-25,Hartlepool,3,85,LAD,,,E06000001,Hartlepool,0.0,0.0
E06000001,2020-03-26,Hartlepool,3,86,LAD,,,E06000001,Hartlepool,0.0,0.0
E06000001,2020-03-27,Hartlepool,6,87,LAD,,,E06000001,Hartlepool,3.0,3.0
E06000001,2020-03-28,Hartlepool,7,88,LAD,,,E06000001,Hartlepool,1.0,-2.0
E06000001,2020-03-29,Hartlepool,11,89,LAD,,,E06000001,Hartlepool,4.0,3.0
E06000002,2020-03-18,Middlesbrough,0,78,LAD,,,E06000002,Middlesbrough,,
E06000002,2020-03-19,Middlesbrough,0,79,LAD,,,E06000002,Middlesbrough,0.0,
E06000002,2020-03-20,Middlesbrough,1,80,LAD,,,E06000002,Middlesbrough,1.0,1.0
E06000002,2020-03-21,Middlesbrough,1,81,LAD,,,E06000002,Middlesbrough,0.0,-1.0
E06000002,2020-03-22,Middlesbrough,1,82,LAD,,,E06000002,Middlesbrough,0.0,0.0
E06000002,2020-03-23,Middlesbrough,3,83,LAD,,,E06000002,Middlesbrough,2.0,2.0
E06000002,2020-03-24,Middlesbrough,7,84,LAD,,,E06000002,Middlesbrough,4.0,2.0
E06000002,2020-03-25,Middlesbrough,9,85,LAD,,,E06000002,Middlesbrough,2.0,-2.0
E06000002,2020-03-26,Middlesbrough,9,86,LAD,,,E06000002,Middlesbrough,0.0,-2.0
E06000002,2020-03-27,Middlesbrough,17,87,LAD,,,E06000002,Middlesbrough,8.0,8.0
E06000002,2020-03-28,Middlesbrough,19,88,LAD,,,E06000002,Middlesbrough,2.0,-6.0
E06000002,2020-03-29,Middlesbrough,26,89,LAD,,,E06000002,Middlesbrough,7.0,5.0
E06000003,2020-03-18,Redcar and Cleveland,1,78,LAD,,,E06000003,Redcar and Cleveland,,
E06000003,2020-03-19,Redcar and Cleveland,1,79,LAD,,,E06000003,Redcar and Cleveland,0.0,
E06000003,2020-03-20,Redcar and Cleveland,2,80,LAD,,,E06000003,Redcar and Cleveland,1.0,1.0
E06000003,2020-03-21,Redcar and Cleveland,3,81,LAD,,,E06000003,Redcar and Cleveland,1.0,0.0
E06000003,2020-03-22,Redcar and Cleveland,3,82,LAD,,,E06000003,Redcar and Cleveland,0.0,-1.0
E06000003,2020-03-23,Redcar and Cleveland,3,83,LAD,,,E06000003,Redcar and Cleveland,0.0,0.0
