GSS_CD,week_starting,max_cases,mean_velocity,mean_acceleration,area_type,GSS_NM,CTY19CD,CTY19NM,LAD19CD,LAD19NM
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-23,3,0.4,0.0,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000001,2020-03-30,11,1.3333333333333333,0.5,LAD,Hartlepool,,,E06000001,Hartlepool
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-23,3,0.6,0.5,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000002,2020-03-30,26,3.8333333333333335,0.8333333333333334,LAD,Middlesbrough,,,E06000002,Middlesbrough
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
